,تعداد_گمشده,درصد_گمشده,وضعیت
F3_D07,1491441,98.82112304726971,🔴 بسیار زیاد
F3_D38,1481973,98.1937845249872,🔴 بسیار زیاد
F3_D37MAH,1481963,98.19312193677186,🔴 بسیار زیاد
F3_D24,953928,63.20614510814434,🔴 بسیار زیاد
F3_D13,953918,63.205482519929,🔴 بسیار زیاد
F3_D11,953918,63.205482519929,🔴 بسیار زیاد
F3_D09,953918,63.205482519929,🔴 بسیار زیاد
education_group,860998,57.04871282300348,🔴 بسیار زیاد
F2_D18,860238,56.99835611863775,🔴 بسیار زیاد
F3_D47,604191,40.03298364135956,🔴 بسیار زیاد
F3_D33,603826,40.008799171499696,🔴 بسیار زیاد
F3_D31,555315,36.794517480071,🔴 بسیار زیاد
F3_D06,537523,35.61564052734071,🔴 بسیار زیاد
F3_D05,533201,35.3292699006714,🔴 بسیار زیاد
F3_D04,530513,35.1511661883884,🔴 بسیار زیاد
F3_D03,501985,33.26093452767068,🔴 بسیار زیاد
F3_D02,490221,32.481465751146445,🔴 بسیار زیاد
F2_D17,238960,15.833207993729264,🟠 زیاد
F2_D05,188810,12.510328093806589,🟠 زیاد
F2_D06,34146,2.262473720094909,🟡 متوسط
ActivityStatus,0,0.0,✅ کامل
urban_rural,0,0.0,✅ کامل
province_code,0,0.0,✅ کامل
sample_year,0,0.0,✅ کامل
cluster_number,0,0.0,✅ کامل
dep_sex,0,0.0,✅ کامل
dep_urban_rural,0,0.0,✅ کامل
dep_edu,0,0.0,✅ کامل
dep_age_group,0,0.0,✅ کامل
household_number,0,0.0,✅ کامل
year,0,0.0,✅ کامل
Unnamed: 0,0,0.0,✅ کامل
IW_Yearly,0,0.0,✅ کامل
F3_D49,0,0.0,✅ کامل
pkey,0,0.0,✅ کامل
F3_D01,0,0.0,✅ کامل
F2_D19,0,0.0,✅ کامل
F2_D16,0,0.0,✅ کامل
F2_D15,0,0.0,✅ کامل
F2_D07,0,0.0,✅ کامل
F2_D04,0,0.0,✅ کامل
F2_D03,0,0.0,✅ کامل
NobatAmargiri,0,0.0,✅ کامل
deprived,0,0.0,✅ کامل
